Cake,4,180,Day Dreaming,Vanilla sponge cake coated with rainbow coloured cream and LED cloud light.LED Cloud light - Rainbow Fresh Cream - Vanilla cake base with strawberries and blueberries Decorated with Marble Cloud fondant & Twinkle Decor,,180
Cake,4,180,Baby on the Cloud,Have you ever imagine that you can capture the moment of sunset? This cake is inpiratied by the beautiful colors of the sky - a fuffly sponge cake covered with pastel colors cream. It's like a baby sitting on the cloud .,,180
Cake,5,180,Shakespeare's Chocolate,"The mellow black chocolate flavor is matched with victoria sponge cake and decorated with golden feathers, bringing out a taste of vintage and literature!",,180
Cake,3,150,Hazelnut Alphabet Cake,Chocolate pound cake with Hazelnut buttercream.Edible decorations included Feel free to add your own decorations on top,,150
Cake,4,150,Unicorn's BFF,"Taro Cake Base with Fresh whipping cream Twinkle Decor, mini Meringues & BFF balloon decorations included",,150
Cake,4,180,Cotton love (Vegan) by Elva Ni,The adage of cotton trees is a reminder to cherish those around you. This chocolate and soy blended cake filled with chestnut paste is formalized into a low-sugar vegan recipe. Its creation requires no dairy products nor eggs. This is the perfect cake to surprise your loved ones who value both taste and health.,,180
Cake,4,150,Lemon Meringue cheese Cake,This lemon meringue cake is perfect for someone who prefer light-sweet flavor. The smooth lemon-flavored cream cheese is top up with a slightly torched fluffy meringue. Enjoy! ,,150
Cake,3,120,Lava lychee Earl Grey Chiffon Cake,Organic Earl grey tea Chiffon Cake with Lava Cream cheese in Lychee Flavour,,120
Cake,3,150,Carousel Date (Pink/Blue),Rose Cream with Lychee Cake base,,150
Cake,4,180,Lemon & Yuzu Blossom,Romantic Green rose with Lemon & Yuzu Flavoured Cake and fluffy whip cream,,180
Cake,4,195,Mermaid Atlantis Gem,"Passion fruit cake topped with lychee cream。Just because we too are not yet over with summer vibes, we continue dancing to sunsets with a tribute of this passionfruit cake topped with lychee cream. What an oasis getaway for mermaids of all ages!",,195
Cake,1,105,Gold-Flakes Sakura,"Cherry bloomsome and gold leaf are flowing inside strawberry jelly. Combine with the mango mousse underneath, the creamy mousse and a touch of fruit acid will burst in your mouth. ",,105
Cake,4,150,Billion dollar bakebe,"This tripe-chocolate cake is made of chocolate mousse, chocolate ganache and gold chocolate coins on top. You deserve to treat yourself with some luxury",,150
Cake,4,180,Girl Boss,"Be your own boss girl! This red velvet cake with cream cheese filling is your go to choice. With love, Queen",,180
Cake,2,120,Velvet Dream,"Presenting our classic red velvet and its perfect match - cream cheese, decorated with gold and silver sprinkles. Elegant and satisfying ",,120
Macaron,4,150,Full Moon,"We all know that macarons are delicate pastries, a sweet meringue-based confection made with finely ground almonds. Unlike other classics, this recipe has a sweet and citrus filling combine dark chocolate with passion fruit.",,150
Macaron,4,150,The Proposal,"How romantic is that to present your love with this rose champagne macarons, decorated with a pearl on it just like a ring. This is the perfect gift for your valentine! ",,150
Macaron,3,150,Golden Chestnut macaroon,"Shinning gold macarons with chestnut buttercream filling, festive atmosphere overloaded!",,150
Macaron,4,150,Starry Night macaroon,"We all know that macarons are delicate pastries, a sweet meringue-based confection made with finely ground almonds. Our starry night macaron is filled with strawberry butter cream. How refreshing! ",,150
"Puffs, Tarts & Cookies",3,150,Oh Cheeses!,Oh! Lava cheese is everywhere. This tart is calling for all cheese lovers .,,150
"Puffs, Tarts & Cookies",2,90,Salted Egg Palmiel,,,90
"Puffs, Tarts & Cookies",2,150,Mini cookie monster,"This little cookie monsters cupcake used eatable blue cream and crunchy cookies to decorate. C is for cookie, that's good enough for me.",,150
"Puffs, Tarts & Cookies",2,90,Vegan Oatmeal Cookies,"Being one of Elva Ni‘s favorite treats, Vegan Oatmeal Cookies are low in sugar, and perfect snack option for those conscious about their health and nutritional intake.",,90
"Puffs, Tarts & Cookies",2,120,Meow meow Icing cookies,This adorable cat cookies are made of rich butter cookies with fondant decoration on top. You can even put your personal messages on your cookies! This is a perfect gift idea!,,120
Cupcakes,1,90,Serradura bouquet,Oreo & Cheese flavoured Serradura Pudding in a pink rose bouquet,,90
Cupcakes,1,105,Classic Crème brûlée,A classic Crème brûlée will never go wrong. Imagine how you crack the caramelize sugar with a spoon and the creamy egg custard inside burst out. Close your eyes and enjoy the indulgence! ,,105
Cupcakes,3,90,Cake pop Diva,Let's share this cute little cake-pops with your love ones. It is made of a buttery cake base coated with chocolate and hazelnut crunch. Enjoy! ,,90
Cupcakes,2,90,Unicorn Cupcakes,,,90
Cupcakes,,90,Red velvet Blossom,,,90
Cupcakes,,90,Melt my Treat,,,90
